country_name,country_code,region,happy_rank,happy_score,happy_dec,happy_gdpc,gdpc_change,happy_supp,happy_health,happy_free,happy_gen,happy_trust,wb_pov,wb_unemp,wb_elec,wb_renew,wb_hom,wb_debt
India,IND,Southern Asia,140,4.015,2,0.755,0.045,0.765,0.588,0.498,0.200,0.09,10.00,6.51,95.89,33.27,2.93,
Indonesia,IDN,Southeastern Asia,92,5.192,5,0.931,0.034,1.203,0.660,0.491,0.498,0.03,4.40,3.59,98.85,19.77,,33.73
Iran,IRN,Middle East and Northern Africa,117,4.548,3,1.100,0.037,0.842,0.785,0.305,0.270,0.13,1.00,10.74,100.00,1.00,,
Iraq,IRQ,Middle East and Northern Africa,126,4.437,2,1.043,0.032,0.980,0.574,0.241,0.148,0.09,,15.11,99.99,1.04,,
Ireland,IRL,Western Europe,16,7.021,10,1.499,0.034,1.553,0.999,0.516,0.298,0.31,0.10,4.95,100.00,12.33,0.65,69.54
Israel,ISR,Middle East and Northern Africa,13,7.139,10,1.276,-0.020,1.455,1.029,0.371,0.261,0.08,,3.80,100.00,4.49,1.53,
Italy,ITA,Western Europe,36,6.223,8,1.294,0.023,1.488,1.039,0.231,0.158,0.03,1.00,9.95,100.00,17.27,0.53,
Ivory Coast,CIV,Sub-Saharan Africa,99,4.944,4,0.569,0.049,0.808,0.232,0.352,0.154,0.09,,2.40,68.57,62.41,,
Jamaica,JAM,Latin America and Caribbean,56,5.890,7,0.831,0.014,1.478,0.831,0.490,0.107,0.03,,4.99,98.93,9.20,47.62,92.25
Japan,JPN,Eastern Asia,58,5.886,7,1.327,0.025,1.419,1.088,0.445,0.069,0.14,,2.35,100.00,7.76,0.25,198.02
Jordan,JOR,Middle East and Northern Africa,101,4.906,4,0.837,0.018,1.225,0.815,0.383,0.110,0.13,,16.80,99.90,8.46,1.14,79.34
Kazakhstan,KAZ,Central and Eastern Europe,60,5.809,7,1.173,0.026,1.508,0.729,0.410,0.146,0.10,,4.80,100.00,1.85,,18.48
Kenya,KEN,Sub-Saharan Africa,121,4.509,3,0.512,0.037,0.983,0.581,0.431,0.372,0.05,,5.01,69.70,71.42,3.09,
Kosovo,XKX,Central and Eastern Europe,46,6.100,8,0.882,0.031,1.232,0.758,0.489,0.262,0.01,,0.00,0.00,,1.42,
